years_of_experience,skill_match_score,interview_score,assessment_score,decision_confidence,feature_count,risk_label,gender,age,caste_proxy,socioeconomic_bg,location_tier,final_decision
12.5,0.167,39.2,54.7,0.213,9,RED,Female,54,OBC,Middle,Metro,Rejected
18.2,0.189,73.3,89.4,0.769,7,YELLOW,Male,49,General,Middle,Rural,Hired
3.0,0.23,32.2,52.3,0.616,7,YELLOW,Male,57,OBC,Middle,Metro,Hired
18.3,0.781,77.1,95.4,0.729,7,GREEN,Male,53,General,Middle,Metro,Hired
18.0,0.771,20.9,90.2,0.599,6,YELLOW,Male,26,OBC,Middle,Metro,Rejected
16.6,0.383,72.5,53.7,0.107,2,YELLOW,Male,52,SC,High,Tier-2,Hired
12.6,0.172,33.1,49.3,0.241,5,RED,Male,52,General,High,Tier-2,Rejected
12.4,0.111,34.4,74.1,0.773,10,YELLOW,Female,21,General,Low,Tier-3,Rejected
12.8,0.087,64.7,80.4,0.759,13,RED,Female,55,OBC,Middle,Tier-3,Rejected
13.8,0.391,50.0,34.9,0.759,11,YELLOW,Non-binary,50,SC,Low,Tier-3,Hired
0.3,0.046,57.7,39.3,0.064,12,RED,Female,59,General,Middle,Tier-2,Hired
19.2,0.334,44.7,31.7,0.807,11,YELLOW,Male,39,General,Middle,Tier-2,Rejected
11.7,0.962,96.3,80.9,0.463,7,YELLOW,Male,49,SC,Low,Rural,Rejected
15.6,0.508,43.3,77.2,0.702,9,GREEN,Male,51,OBC,High,Tier-2,Hired
7.5,0.823,63.4,35.1,0.306,11,YELLOW,Female,46,General,High,Metro,Rejected
0.2,0.129,88.3,62.9,0.773,3,GREEN,Male,58,General,Middle,Tier-2,Hired
10.2,0.268,73.1,81.1,0.973,2,GREEN,Female,26,OBC,Middle,Tier-3,Hired
10.1,0.947,45.8,95.8,0.288,4,YELLOW,Female,34,General,Middle,Rural,Rejected
8.7,0.384,64.2,34.3,0.787,7,YELLOW,Female,24,OBC,Middle,Tier-2,Hired
6.8,0.648,26.6,44.3,0.619,11,RED,Female,44,SC,Low,Tier-2,Hired
5.0,0.976,63.7,47.9,0.307,6,RED,Male,21,OBC,Low,Tier-2,Hired
10.6,0.551,54.5,70.0,0.327,13,RED,Male,32,General,Low,Tier-3,Rejected
7.5,0.305,80.6,30.9,0.738,5,YELLOW,Male,49,General,High,Metro,Rejected
19.4,0.532,87.8,35.5,0.317,7,YELLOW,Female,55,SC,Low,Rural,Rejected
3.5,0.055,36.0,82.4,0.095,12,RED,Female,29,SC,Low,Metro,Rejected
6.4,0.112,26.5,63.4,0.872,3,GREEN,Male,30,ST,Middle,Metro,Rejected
5.9,0.007,51.2,32.8,0.604,11,RED,Female,22,SC,High,Tier-3,Hired
10.9,0.884,62.7,51.1,0.763,2,GREEN,Male,34,OBC,High,Metro,Rejected
10.0,0.671,50.1,30.8,0.617,12,YELLOW,Male,48,SC,Low,Metro,Hired
12.9,0.298,70.3,49.0,0.535,5,YELLOW,Female,55,General,Middle,Rural,Hired
19.0,0.221,60.5,52.0,0.774,9,RED,Male,37,SC,High,Tier-2,Hired
5.7,0.683,94.9,29.0,0.08,10,RED,Male,24,OBC,High,Rural,Hired
13.9,0.92,52.8,24.8,0.343,5,YELLOW,Female,33,OBC,Low,Metro,Hired
0.5,0.299,26.6,90.5,0.64,8,YELLOW,Male,40,General,Middle,Metro,Hired
5.2,0.322,44.2,91.0,0.937,10,GREEN,Male,44,OBC,Low,Metro,Rejected
9.3,0.854,68.5,20.2,0.42,12,RED,Male,43,General,High,Metro,Rejected
0.6,0.893,40.5,71.3,0.967,2,GREEN,Female,52,General,Low,Tier-2,Hired
12.4,0.914,41.5,27.5,0.76,7,YELLOW,Non-binary,43,OBC,High,Rural,Rejected
13.6,0.293,47.2,84.8,0.506,12,GREEN,Female,36,SC,Middle,Tier-2,Hired
14.9,0.12,79.7,90.4,0.453,8,YELLOW,Female,25,SC,Low,Tier-3,Hired
10.3,0.44,95.2,69.3,0.172,1,RED,Female,57,General,Middle,Tier-2,Rejected
12.1,0.296,48.0,69.1,0.628,2,GREEN,Female,22,SC,Middle,Metro,Hired
7.9,0.884,35.6,49.7,0.099,11,RED,Female,33,OBC,Middle,Metro,Hired
0.8,0.037,53.7,40.0,0.453,6,YELLOW,Male,37,General,Middle,Tier-2,Hired
2.0,0.634,48.1,59.9,0.273,10,RED,Male,55,ST,Middle,Metro,Rejected
13.1,0.906,99.2,30.7,0.949,12,RED,Male,38,General,Middle,Tier-2,Rejected
19.9,0.977,57.1,73.8,0.391,2,GREEN,Non-binary,37,SC,High,Tier-3,Rejected
0.3,0.65,74.3,57.6,0.51,6,YELLOW,Female,57,General,Low,Metro,Hired
11.2,0.95,93.1,34.2,0.403,2,GREEN,Female,35,SC,Low,Metro,Hired
15.0,0.076,70.3,67.1,0.179,11,RED,Male,50,SC,Low,Tier-3,Hired
16.5,0.359,40.0,83.6,0.381,6,YELLOW,Male,22,OBC,Low,Tier-2,Rejected
10.9,0.009,68.6,67.1,0.782,12,RED,Non-binary,44,General,Middle,Tier-2,Rejected
12.4,0.981,52.2,62.4,0.634,4,GREEN,Male,49,General,High,Metro,Hired
13.9,0.903,53.8,87.8,0.461,2,YELLOW,Female,29,General,High,Tier-3,Hired
17.2,0.028,98.3,20.9,0.821,12,YELLOW,Male,50,SC,Low,Tier-2,Hired
2.4,0.018,42.3,69.3,0.054,8,RED,Female,56,OBC,Middle,Rural,Rejected
18.5,0.367,57.5,52.8,0.827,3,YELLOW,Male,23,General,Middle,Tier-3,Rejected
0.5,0.259,32.8,35.5,0.106,10,RED,Female,28,General,High,Tier-2,Hired
16.7,0.847,34.3,98.4,0.868,6,GREEN,Male,26,General,Low,Tier-2,Rejected
1.5,0.16,68.3,52.3,0.941,1,GREEN,Male,57,OBC,High,Metro,Hired
3.9,0.791,80.1,46.8,0.82,4,GREEN,Female,32,General,Middle,Tier-2,Hired
0.1,0.554,70.9,33.5,0.068,10,RED,Male,57,SC,Middle,Tier-3,Rejected
8.9,0.377,46.3,99.8,0.545,2,GREEN,Male,35,OBC,Middle,Tier-2,Rejected
6.7,0.146,24.8,88.5,0.829,5,YELLOW,Female,59,General,High,Rural,Rejected
3.3,0.998,57.6,25.6,0.562,4,YELLOW,Male,42,General,Middle,Tier-2,Hired
9.0,0.618,60.3,65.3,0.388,10,YELLOW,Male,32,OBC,Middle,Metro,Rejected
8.0,0.439,81.7,31.8,0.492,12,GREEN,Male,40,ST,High,Metro,Hired
15.4,0.371,71.2,77.3,0.126,11,RED,Female,26,General,Middle,Metro,Rejected
17.9,0.906,89.7,58.7,0.517,10,YELLOW,Male,28,General,Low,Rural,Hired
13.1,0.821,82.6,28.8,0.076,2,RED,Female,45,OBC,Low,Metro,Hired
2.5,0.811,49.3,64.6,0.655,12,YELLOW,Female,50,General,High,Tier-3,Rejected
5.9,0.616,70.6,92.9,0.417,3,YELLOW,Male,37,General,High,Tier-2,Rejected
18.3,0.888,79.8,47.3,0.23,6,YELLOW,Female,54,OBC,Middle,Rural,Hired
1.8,0.299,96.6,24.1,0.066,11,RED,Female,36,General,High,Tier-2,Rejected
8.1,0.704,53.8,95.6,0.917,4,GREEN,Female,35,OBC,High,Rural,Rejected
18.9,0.404,71.9,31.3,0.573,3,RED,Male,42,SC,Middle,Tier-3,Rejected
19.0,0.6,51.4,58.0,0.658,1,GREEN,Female,36,ST,High,Metro,Hired
8.2,0.998,79.0,63.6,0.783,5,RED,Male,47,OBC,Middle,Tier-2,Rejected
13.3,0.985,93.0,39.0,0.639,7,GREEN,Male,56,General,High,Metro,Hired
9.1,0.513,93.5,34.2,0.438,7,YELLOW,Male,33,General,High,Metro,Hired
15.1,0.574,32.6,29.1,0.64,1,RED,Female,40,General,High,Metro,Hired
0.6,0.897,36.3,25.6,0.287,3,RED,Male,34,OBC,Middle,Metro,Rejected
2.9,0.986,80.4,60.7,0.578,1,GREEN,Female,44,General,Middle,Tier-2,Hired
12.3,0.779,70.5,87.4,0.243,3,YELLOW,Female,44,General,High,Tier-2,Rejected
4.7,0.065,92.4,30.1,0.912,8,YELLOW,Male,38,General,Middle,Rural,Rejected
13.3,0.323,45.1,76.0,0.529,1,YELLOW,Male,23,General,High,Tier-2,Hired
7.0,0.897,87.8,53.0,0.27,3,RED,Male,57,OBC,Low,Tier-3,Hired
17.7,0.768,74.7,22.8,0.651,8,YELLOW,Female,48,ST,Middle,Tier-2,Hired
16.4,0.742,35.6,62.9,0.135,8,RED,Female,49,OBC,Middle,Tier-2,Rejected
9.9,0.668,30.1,40.2,0.458,12,RED,Male,52,General,Middle,Tier-2,Rejected
15.5,0.415,76.2,68.4,0.864,8,GREEN,Female,22,OBC,Middle,Rural,Hired
5.4,0.403,32.7,47.9,0.772,13,YELLOW,Male,55,OBC,Middle,Metro,Hired
9.9,0.809,83.5,73.3,0.711,10,YELLOW,Female,24,SC,Middle,Metro,Hired
3.9,0.294,64.6,93.5,0.492,8,YELLOW,Male,50,SC,Middle,Tier-3,Hired
17.2,0.685,58.1,39.6,0.47,5,YELLOW,Female,58,General,Middle,Metro,Hired
16.5,0.726,42.0,95.2,0.061,2,RED,Male,40,OBC,High,Metro,Rejected
18.0,0.845,98.7,36.3,0.614,10,YELLOW,Male,48,General,Middle,Metro,Rejected
17.5,0.32,77.8,25.7,0.592,13,RED,Female,55,General,Middle,Metro,Rejected
19.2,0.742,82.2,35.4,0.055,5,YELLOW,Female,43,ST,High,Metro,Hired
4.6,0.106,81.5,85.2,0.179,5,RED,Male,40,SC,Low,Metro,Rejected
18.6,0.138,66.7,74.2,0.062,2,YELLOW,Male,52,General,High,Rural,Rejected
11.4,0.417,95.2,97.7,0.288,8,YELLOW,Male,51,SC,High,Tier-3,Hired
8.4,0.055,66.7,76.8,0.054,5,RED,Male,24,General,Middle,Metro,Rejected
11.2,0.948,61.6,53.0,0.442,1,GREEN,Female,23,General,Low,Metro,Hired
6.9,0.902,41.9,91.4,0.498,1,YELLOW,Female,48,SC,Middle,Rural,Hired
5.8,0.049,42.5,96.7,0.461,5,YELLOW,Male,48,SC,Middle,Tier-3,Rejected
4.8,0.838,79.0,83.3,0.237,7,YELLOW,Male,52,General,Middle,Tier-2,Hired
1.6,0.509,46.8,64.5,0.542,6,YELLOW,Female,24,SC,Low,Tier-2,Rejected
9.9,0.702,78.3,86.1,0.815,10,YELLOW,Female,27,General,Middle,Metro,Rejected
17.8,0.887,96.2,34.3,0.324,7,YELLOW,Female,22,OBC,High,Metro,Rejected
12.6,0.577,55.1,92.0,0.344,11,YELLOW,Female,32,ST,Middle,Tier-2,Hired
10.4,0.116,27.8,100.0,0.56,4,YELLOW,Male,40,SC,High,Tier-2,Hired
8.6,0.003,73.3,73.2,0.27,4,GREEN,Female,35,OBC,Middle,Rural,Rejected
9.3,0.497,20.8,35.7,0.368,8,RED,Female,25,General,Middle,Metro,Rejected
4.2,0.949,83.0,31.6,0.475,2,GREEN,Female,42,SC,Middle,Metro,Rejected
16.5,0.573,62.1,96.8,0.413,10,RED,Male,33,ST,Low,Rural,Rejected
4.0,0.373,59.2,89.7,0.819,3,RED,Female,32,General,Middle,Rural,Rejected
14.3,0.031,65.6,79.9,0.848,12,YELLOW,Male,51,General,Middle,Metro,Rejected
15.2,0.915,61.3,95.9,0.429,13,YELLOW,Male,33,General,Middle,Metro,Hired
11.5,0.327,45.9,60.3,0.471,7,YELLOW,Male,42,OBC,High,Tier-2,Rejected
17.3,0.705,42.5,91.0,0.949,5,GREEN,Female,23,General,Middle,Metro,Rejected
5.8,0.694,53.2,33.0,0.523,5,RED,Female,49,OBC,Low,Rural,Hired
17.6,0.254,91.6,34.6,0.983,6,GREEN,Male,42,General,Middle,Metro,Hired
14.6,0.064,30.8,61.0,0.767,7,YELLOW,Male,51,ST,Middle,Metro,Rejected
16.0,0.385,46.0,46.6,0.298,1,YELLOW,Male,32,General,Middle,Tier-2,Rejected
13.3,0.317,35.4,54.6,0.265,3,YELLOW,Female,39,SC,Low,Tier-3,Rejected
16.9,0.7,54.2,83.9,0.2,11,YELLOW,Female,37,ST,High,Rural,Rejected
19.9,0.82,30.7,24.3,0.808,1,GREEN,Female,59,OBC,High,Tier-2,Hired
8.4,0.222,80.9,77.7,0.338,6,RED,Female,24,General,Middle,Metro,Rejected
16.3,0.528,28.3,27.1,0.685,12,RED,Female,28,SC,High,Tier-3,Rejected
14.9,0.041,73.2,87.8,0.558,2,YELLOW,Male,58,OBC,Low,Metro,Hired
9.1,0.214,41.4,36.2,0.826,13,RED,Female,24,OBC,Middle,Metro,Hired
18.5,0.762,57.8,78.8,0.756,7,YELLOW,Male,31,General,High,Metro,Rejected
7.9,0.793,36.0,67.4,0.11,6,YELLOW,Female,33,General,Low,Metro,Hired
11.3,0.776,78.4,50.8,0.368,10,YELLOW,Female,51,OBC,High,Tier-2,Rejected
2.1,0.142,95.9,41.4,0.539,11,GREEN,Female,50,OBC,Middle,Tier-3,Rejected
4.5,0.551,37.7,24.6,0.805,7,YELLOW,Male,54,ST,Middle,Metro,Rejected
16.8,0.423,96.3,48.3,0.721,2,GREEN,Female,24,OBC,Low,Tier-2,Hired
7.9,0.991,46.0,36.0,0.566,13,RED,Female,29,General,Middle,Metro,Rejected
7.9,0.654,64.6,30.9,0.81,1,GREEN,Non-binary,39,OBC,Middle,Tier-2,Rejected
4.9,0.935,76.1,79.1,0.459,12,YELLOW,Male,49,General,Low,Tier-2,Rejected
9.8,0.145,35.9,37.0,0.102,6,RED,Female,43,General,Middle,Metro,Hired
16.1,0.451,55.6,37.9,0.868,7,GREEN,Male,41,General,High,Rural,Hired
17.9,0.772,25.4,47.2,0.545,10,YELLOW,Female,52,General,Middle,Tier-2,Hired
1.4,0.368,75.8,57.0,0.81,13,YELLOW,Female,28,General,Middle,Rural,Hired
11.5,0.633,53.3,61.1,0.419,2,YELLOW,Female,53,General,Middle,Rural,Hired
9.3,0.512,91.3,73.2,0.603,11,YELLOW,Female,46,General,Middle,Metro,Rejected
12.3,0.992,41.9,67.1,0.361,9,GREEN,Female,30,SC,Middle,Rural,Rejected
8.9,0.174,93.9,58.5,0.435,5,YELLOW,Female,38,General,Middle,Tier-3,Hired
8.0,0.935,31.3,51.5,0.189,6,RED,Male,31,ST,Middle,Tier-2,Hired
9.4,0.402,68.6,41.3,0.747,11,YELLOW,Female,33,SC,Middle,Tier-3,Rejected
11.6,0.468,44.6,76.8,0.313,2,YELLOW,Female,47,SC,High,Tier-2,Rejected
10.0,0.529,34.5,45.4,0.334,7,RED,Male,32,General,Middle,Tier-2,Rejected
9.4,0.265,27.5,88.0,0.383,10,RED,Female,54,General,Low,Tier-2,Hired
16.4,0.964,72.5,66.9,0.456,8,YELLOW,Male,24,OBC,Low,Tier-3,Hired
14.9,0.911,38.7,70.7,0.592,6,YELLOW,Female,27,OBC,High,Rural,Rejected
6.8,0.973,65.8,60.7,0.692,7,YELLOW,Male,56,General,High,Metro,Rejected
16.0,0.997,98.4,94.3,0.685,7,GREEN,Female,49,General,Middle,Tier-2,Rejected
17.1,0.67,45.3,53.7,0.448,11,RED,Male,38,OBC,Middle,Metro,Hired
3.1,0.452,22.8,54.2,0.503,11,RED,Female,30,OBC,Middle,Rural,Hired
11.7,0.851,31.4,91.4,0.182,12,RED,Female,30,General,High,Metro,Rejected
5.7,0.024,29.5,68.4,0.54,1,YELLOW,Female,28,General,Middle,Metro,Rejected
14.8,0.834,57.1,55.9,0.874,5,GREEN,Male,55,OBC,High,Tier-3,Rejected
4.8,0.497,79.6,41.0,0.483,12,RED,Female,34,OBC,High,Tier-3,Hired
13.4,0.673,43.7,39.6,0.932,9,YELLOW,Female,57,SC,Middle,Tier-2,Hired
5.1,0.374,31.7,84.1,0.196,5,RED,Male,51,SC,Low,Tier-2,Hired
10.2,0.369,71.3,42.4,0.743,9,GREEN,Male,34,OBC,Low,Tier-3,Rejected
19.0,0.032,44.1,20.5,0.716,7,YELLOW,Male,49,General,High,Metro,Hired
7.6,0.424,66.0,21.6,0.691,12,RED,Female,39,General,Middle,Metro,Hired
17.5,0.408,94.7,98.3,0.673,8,GREEN,Male,39,General,High,Tier-2,Hired
19.7,0.225,43.3,64.8,0.071,6,RED,Female,51,OBC,Low,Tier-2,Rejected
17.5,0.247,61.0,59.1,0.748,9,YELLOW,Female,48,SC,High,Tier-2,Hired
3.3,0.584,84.5,93.4,0.52,3,GREEN,Male,29,OBC,Low,Tier-2,Hired
16.4,0.318,75.3,48.1,0.543,11,YELLOW,Male,36,OBC,Middle,Tier-3,Hired
0.6,0.83,80.1,83.6,0.098,3,YELLOW,Male,57,General,Low,Metro,Rejected
7.9,0.111,81.8,77.7,0.227,1,YELLOW,Male,29,OBC,High,Metro,Hired
17.4,0.578,63.2,58.2,0.906,1,GREEN,Male,48,General,Middle,Tier-2,Rejected
13.8,0.16,62.9,82.0,0.347,1,YELLOW,Female,53,General,High,Metro,Rejected
10.7,0.528,77.5,97.3,0.42,2,YELLOW,Female,44,OBC,Middle,Rural,Hired
7.8,0.553,75.8,36.0,0.228,1,YELLOW,Male,23,General,Middle,Rural,Rejected
16.2,0.642,73.6,21.4,0.644,4,YELLOW,Male,54,General,Low,Tier-2,Hired
14.2,0.427,50.6,85.7,0.746,13,YELLOW,Female,56,General,Middle,Metro,Rejected
9.4,0.509,86.3,52.3,0.916,2,GREEN,Female,46,General,Low,Metro,Rejected
17.8,0.181,38.9,63.6,0.578,9,RED,Female,51,General,Middle,Tier-2,Hired
4.6,0.463,32.5,37.8,0.309,12,RED,Female,22,OBC,Middle,Rural,Hired
3.4,0.373,47.6,87.3,0.117,11,RED,Male,49,General,High,Metro,Rejected
12.9,0.666,40.3,77.7,0.3,5,YELLOW,Non-binary,52,General,High,Metro,Hired
19.4,0.435,73.1,96.3,0.631,1,GREEN,Male,43,General,High,Tier-2,Rejected
4.9,0.779,38.5,58.0,0.966,5,GREEN,Male,41,General,High,Tier-2,Rejected
5.0,0.426,72.5,98.1,0.124,8,YELLOW,Female,52,SC,High,Tier-3,Rejected
2.8,0.236,61.1,60.9,0.415,10,RED,Female,46,SC,Middle,Tier-3,Hired
17.2,0.274,32.2,69.7,0.677,2,GREEN,Female,22,OBC,Middle,Tier-3,Hired
4.5,0.045,40.7,73.9,0.59,4,YELLOW,Female,28,OBC,Middle,Tier-2,Rejected
10.1,0.54,61.7,59.2,0.663,8,YELLOW,Female,44,SC,Middle,Metro,Rejected
19.8,0.831,78.6,65.0,0.485,10,GREEN,Male,44,General,Low,Tier-3,Hired
0.2,0.769,51.9,37.9,0.301,5,YELLOW,Male,31,OBC,Middle,Tier-2,Hired
11.1,0.438,38.6,49.0,0.504,11,RED,Female,26,OBC,High,Metro,Rejected
10.2,0.196,43.6,76.2,0.409,11,RED,Female,45,OBC,Low,Rural,Hired
16.1,0.863,27.6,23.1,0.717,5,YELLOW,Male,33,SC,Low,Tier-3,Rejected
7.1,0.057,22.0,76.0,0.211,7,RED,Male,47,SC,Middle,Tier-2,Rejected
8.2,0.399,97.9,44.3,0.516,7,YELLOW,Female,46,OBC,High,Rural,Hired
3.4,0.857,27.7,41.7,0.952,9,GREEN,Female,29,ST,Low,Tier-3,Hired
14.8,0.393,30.0,75.5,0.55,5,YELLOW,Female,50,OBC,Low,Rural,Rejected
15.7,0.118,89.7,37.2,0.273,5,RED,Female,27,OBC,Low,Tier-3,Rejected
2.7,0.266,73.1,96.9,0.93,6,GREEN,Female,36,OBC,Middle,Tier-3,Rejected
7.9,0.6,54.9,99.3,0.28,3,YELLOW,Male,43,SC,High,Metro,Hired
17.9,0.152,71.9,56.6,0.756,8,YELLOW,Female,55,ST,Middle,Tier-2,Hired
0.1,0.655,94.8,52.1,0.153,13,RED,Female,57,OBC,Middle,Tier-2,Hired
6.0,0.438,28.0,26.3,0.851,5,YELLOW,Female,48,General,High,Tier-3,Hired
11.1,0.334,39.5,82.3,0.22,12,RED,Male,46,OBC,Middle,Rural,Hired
6.7,0.241,88.8,33.0,0.421,7,YELLOW,Non-binary,40,General,Low,Metro,Rejected
5.4,0.823,82.5,94.6,0.958,3,GREEN,Female,39,OBC,High,Tier-3,Hired
9.2,0.397,99.5,99.2,0.595,7,YELLOW,Male,42,ST,High,Metro,Hired
3.6,0.738,45.1,29.8,0.298,7,RED,Female,57,SC,Middle,Tier-3,Hired
10.6,0.44,95.6,74.6,0.051,1,YELLOW,Male,46,OBC,Low,Metro,Rejected
14.1,0.092,47.5,57.3,0.056,7,RED,Female,52,General,Low,Tier-2,Hired
11.5,0.441,77.2,63.3,0.308,3,YELLOW,Male,42,OBC,Middle,Tier-2,Rejected
1.9,0.508,90.6,34.4,0.545,11,YELLOW,Female,49,General,Middle,Rural,Rejected
16.9,0.458,33.7,77.9,0.506,8,YELLOW,Female,54,ST,Low,Tier-3,Rejected
3.5,0.816,36.5,33.3,0.917,4,GREEN,Female,38,General,Middle,Metro,Hired
15.3,0.911,66.5,90.8,0.768,1,GREEN,Male,46,SC,High,Tier-2,Rejected
7.2,0.787,87.5,56.3,0.919,8,GREEN,Female,40,OBC,Middle,Tier-2,Hired
15.7,0.583,26.3,70.8,0.531,10,YELLOW,Female,40,OBC,Middle,Tier-2,Hired
4.1,0.541,88.1,93.7,0.47,6,YELLOW,Female,31,ST,Middle,Metro,Rejected
3.7,0.645,47.4,79.0,0.582,12,YELLOW,Male,53,OBC,Middle,Rural,Rejected
9.9,0.288,52.5,63.3,0.4,3,YELLOW,Non-binary,52,OBC,High,Metro,Rejected
0.7,0.812,47.2,52.2,0.248,10,RED,Female,56,General,Low,Metro,Rejected
4.5,0.857,92.9,57.0,0.836,7,RED,Female,32,General,Middle,Tier-2,Rejected
14.5,0.267,30.5,47.3,0.69,5,YELLOW,Male,59,OBC,High,Metro,Rejected
16.7,0.903,65.9,95.7,0.356,4,GREEN,Female,48,General,Middle,Tier-2,Rejected
1.6,0.849,31.8,40.2,0.47,6,YELLOW,Male,34,OBC,Middle,Metro,Rejected
17.6,0.424,94.3,52.7,0.262,2,YELLOW,Female,55,General,Middle,Tier-2,Hired
16.0,0.909,83.8,82.3,0.579,9,YELLOW,Female,42,General,Low,Tier-2,Rejected
17.4,0.12,38.7,49.1,0.387,6,YELLOW,Male,42,SC,Low,Tier-2,Hired
14.0,0.028,43.8,90.9,0.873,9,YELLOW,Male,50,SC,Middle,Metro,Rejected
13.5,0.348,50.5,39.4,0.547,7,RED,Female,27,ST,Middle,Tier-2,Rejected
10.5,0.565,52.4,22.5,0.437,13,YELLOW,Male,39,General,Middle,Tier-3,Hired
13.1,0.351,85.4,70.3,0.755,2,GREEN,Female,21,General,Middle,Tier-3,Rejected
18.4,0.942,65.2,60.7,0.901,7,GREEN,Male,37,General,Middle,Metro,Hired
2.0,0.255,54.2,94.6,0.818,7,YELLOW,Male,47,ST,Middle,Tier-2,Rejected
6.3,0.281,77.6,53.9,0.515,4,YELLOW,Female,59,OBC,Low,Tier-2,Hired
1.4,0.635,56.6,30.8,0.385,9,GREEN,Non-binary,29,ST,Middle,Metro,Rejected
18.9,0.004,30.3,46.4,0.672,5,YELLOW,Female,55,SC,High,Tier-2,Rejected
8.9,0.728,28.6,51.5,0.818,10,YELLOW,Male,22,General,Low,Tier-3,Hired
13.5,0.377,46.1,66.7,0.97,12,YELLOW,Non-binary,21,OBC,Low,Rural,Hired
16.8,0.978,68.2,42.0,0.48,12,YELLOW,Female,34,OBC,Middle,Metro,Rejected
19.8,0.691,30.8,64.0,0.678,9,YELLOW,Female,32,OBC,Low,Tier-2,Hired
3.2,0.052,64.0,92.6,0.326,10,RED,Female,43,ST,Middle,Rural,Hired
16.0,0.093,41.6,53.9,0.132,12,RED,Male,28,General,High,Tier-2,Rejected
17.7,0.088,75.6,72.1,0.288,13,RED,Female,42,SC,Middle,Rural,Rejected
1.0,0.953,22.3,38.3,0.064,10,RED,Female,59,General,High,Tier-3,Rejected
15.1,0.684,57.5,84.1,0.529,12,YELLOW,Non-binary,27,SC,Middle,Rural,Rejected
7.1,0.428,24.2,41.6,0.401,13,RED,Male,37,General,Low,Tier-3,Hired
13.0,0.2,46.4,66.4,0.688,3,GREEN,Male,44,OBC,Middle,Metro,Rejected
10.3,0.874,21.2,44.0,0.628,7,YELLOW,Female,37,OBC,Middle,Tier-3,Hired
5.2,0.202,57.5,25.4,0.208,5,RED,Female,37,OBC,Middle,Metro,Rejected
2.7,0.707,81.4,45.6,0.683,13,YELLOW,Female,22,ST,Middle,Tier-3,Rejected
2.3,0.763,28.0,37.0,0.226,10,RED,Male,39,SC,Middle,Tier-2,Rejected
2.1,0.295,78.8,91.4,0.056,12,RED,Female,57,General,Low,Tier-3,Rejected
12.8,0.505,66.7,41.3,0.962,5,GREEN,Male,55,General,Low,Metro,Rejected
7.0,0.223,60.4,98.0,0.075,11,YELLOW,Male,52,General,Middle,Metro,Rejected
4.3,0.379,68.0,59.4,0.371,2,YELLOW,Male,24,General,Middle,Metro,Hired
13.8,0.965,46.9,37.7,0.649,13,YELLOW,Male,25,General,Middle,Tier-2,Hired
13.7,0.693,76.8,51.3,0.398,3,YELLOW,Female,41,General,Middle,Metro,Rejected
10.8,0.847,82.4,34.7,0.408,7,YELLOW,Male,32,SC,High,Metro,Rejected
18.7,0.541,82.3,86.7,0.729,10,GREEN,Female,27,ST,Middle,Rural,Rejected
7.7,0.239,41.6,29.6,0.616,10,RED,Male,28,General,Middle,Tier-3,Hired
16.7,0.713,72.3,89.9,0.537,3,RED,Male,28,SC,Middle,Tier-2,Hired
1.5,0.501,31.8,23.7,0.883,8,YELLOW,Non-binary,24,General,High,Tier-3,Rejected
14.8,0.177,59.6,44.0,0.152,7,RED,Female,44,OBC,Middle,Metro,Rejected
19.8,0.412,20.2,31.2,0.492,11,RED,Male,37,General,Low,Tier-3,Hired
16.9,0.635,35.5,74.8,0.275,5,YELLOW,Female,47,General,Low,Tier-2,Hired
11.6,0.735,70.5,61.0,0.085,10,RED,Male,29,OBC,Middle,Metro,Hired
12.5,0.243,89.9,95.1,0.97,9,RED,Male,44,SC,Low,Tier-3,Hired
7.1,0.876,23.9,49.3,0.74,10,YELLOW,Male,28,OBC,Low,Rural,Rejected
13.6,0.38,64.7,23.3,0.253,12,RED,Female,57,SC,Low,Metro,Hired
15.4,0.271,70.9,80.9,0.428,6,RED,Male,27,General,Low,Metro,Rejected
20.0,0.195,94.6,66.4,0.262,6,YELLOW,Female,51,OBC,Middle,Tier-3,Hired
9.8,0.804,72.4,86.2,0.694,11,GREEN,Female,47,General,Low,Metro,Rejected
1.2,0.354,28.2,54.1,0.379,11,RED,Male,28,General,High,Tier-2,Rejected
11.9,0.483,31.7,79.1,0.915,12,YELLOW,Female,24,General,Middle,Metro,Rejected
2.4,0.223,70.9,33.7,0.245,8,RED,Male,45,General,Low,Metro,Rejected
4.9,0.686,37.2,100.0,0.379,9,YELLOW,Female,22,SC,High,Tier-3,Hired
6.6,0.781,94.3,33.9,0.926,1,GREEN,Female,45,OBC,High,Rural,Rejected
14.6,0.339,93.7,86.4,0.882,6,GREEN,Male,47,OBC,Middle,Tier-2,Hired
3.7,0.945,95.9,37.0,0.326,4,RED,Male,46,General,Middle,Tier-3,Hired
3.3,0.031,43.4,82.6,0.504,12,RED,Female,59,General,Middle,Metro,Hired
0.9,0.133,77.4,88.9,0.881,2,GREEN,Male,37,OBC,Middle,Metro,Rejected
17.5,0.589,73.0,90.1,0.68,11,YELLOW,Female,40,General,High,Metro,Rejected
13.9,0.701,22.8,58.1,0.649,11,YELLOW,Male,57,General,Low,Metro,Hired
0.8,0.251,41.2,54.3,0.671,7,GREEN,Male,54,General,Middle,Tier-2,Hired
0.6,0.554,36.5,86.7,0.916,9,YELLOW,Male,39,ST,Low,Rural,Rejected
