years_of_experience,skill_match_score,assessment_score,interview_score,decision_confidence,feature_count,institution_tier,career_gap_months,applicant_surname,emotion_score,home_district,caste_indicator,risk_label
1.7,0.619,48.8,8.0,0.611,4,3,0,Banerjee,0.603,Pune,SC,GREEN
1.7,0.659,73.5,8.9,0.747,6,4,1,Verma,0.891,Kalahandi,OBC,GREEN
0.6,0.849,93.8,8.7,0.873,4,4,0,Sharma,0.728,Bengaluru Urban,OBC,GREEN
12.4,0.745,60.4,8.2,0.711,10,4,6,Menon,0.533,Gaya,SC,GREEN
7.2,0.244,2.5,3.9,0.217,12,4,0,Paswan,0.818,Mewat,General,RED
1.0,0.759,76.7,6.4,0.746,6,4,2,Banerjee,0.91,Bastar,OBC,GREEN
1.6,0.759,69.4,9.1,0.831,7,2,0,Verma,0.864,Gaya,General,GREEN
3.7,0.798,72.4,10.0,0.808,6,1,0,Patil,0.884,Kalahandi,OBC,GREEN
8.0,0.465,65.3,4.8,0.473,6,4,10,Das,0.66,Pune,OBC,GREEN
5.4,0.872,84.8,10.0,0.855,11,3,0,Menon,0.857,Bengaluru Urban,General,GREEN
5.0,0.713,78.2,8.3,0.751,6,2,0,Singh,0.844,Pune,OBC,GREEN
4.2,0.602,67.1,5.8,0.6,5,2,0,Das,0.903,Bengaluru Urban,SC,GREEN
1.0,0.586,32.0,3.2,0.37,5,4,0,Menon,0.922,Bastar,OBC,RED
3.8,0.722,66.5,7.1,0.634,9,1,0,Menon,0.669,Kalahandi,OBC,GREEN
3.4,0.785,80.5,9.0,0.807,6,4,0,Das,0.872,Kalahandi,OBC,GREEN
0.6,0.616,69.0,7.1,0.681,10,3,4,Verma,0.681,Kalahandi,SC,GREEN
12.2,0.526,58.1,3.3,0.509,13,2,5,Munda,0.854,Pune,OBC,GREEN
1.9,0.755,53.0,6.6,0.62,6,2,0,Meena,0.749,Bastar,OBC,GREEN
2.3,0.661,67.0,7.6,0.676,6,2,0,Menon,0.598,Pune,ST,GREEN
2.7,0.667,69.1,8.1,0.676,4,3,0,Khan,0.952,Bengaluru Urban,SC,GREEN
3.3,0.343,58.1,4.6,0.46,7,4,15,Yadav,0.428,Mumbai Suburban,OBC,YELLOW
2.7,0.661,54.1,7.3,0.602,10,3,3,Singh,0.777,Mewat,General,YELLOW
3.5,0.758,80.8,8.0,0.817,4,4,0,Gupta,0.906,Pune,General,GREEN
4.0,0.862,94.9,9.9,0.844,6,4,6,Yadav,0.865,Gaya,OBC,GREEN
3.8,0.29,36.6,3.5,0.317,11,4,0,Banerjee,0.669,Kalahandi,General,RED
4.9,0.462,49.7,2.8,0.428,7,4,0,Kumar,0.63,Bengaluru Urban,SC,GREEN
5.2,0.763,93.1,10.0,0.907,8,4,0,Paswan,0.724,Pune,General,GREEN
5.3,0.623,63.0,8.9,0.849,6,4,28,Khan,0.927,Mewat,General,YELLOW
6.4,0.739,86.2,8.5,0.834,5,4,0,Sharma,0.813,Bengaluru Urban,OBC,GREEN
1.7,0.554,64.4,4.0,0.482,8,4,0,Das,0.841,Mewat,OBC,YELLOW
1.8,0.668,53.1,8.4,0.675,3,4,5,Banerjee,0.939,Gaya,OBC,GREEN
8.0,0.36,54.1,3.4,0.325,4,4,0,Menon,0.74,Bengaluru Urban,OBC,YELLOW
2.3,0.708,59.3,8.8,0.723,10,3,0,Paswan,0.927,Hyderabad,General,GREEN
3.1,0.503,49.0,5.8,0.483,3,2,0,Deshmukh,0.641,Mewat,General,GREEN
2.9,0.676,70.9,7.5,0.757,6,3,9,Paswan,0.874,Gaya,SC,GREEN
17.3,0.391,49.2,6.0,0.467,7,4,0,Paswan,0.753,Gaya,OBC,YELLOW
1.4,0.555,58.8,4.3,0.518,4,4,0,Singh,0.842,Gaya,ST,YELLOW
1.4,0.585,81.4,6.4,0.648,4,3,0,Patil,0.731,Bengaluru Urban,General,GREEN
3.5,0.942,95.0,10.0,1.0,11,4,0,Deshmukh,0.97,Bastar,General,GREEN
2.9,0.944,100.0,10.0,0.965,6,4,3,Sharma,0.893,Mumbai Suburban,ST,GREEN
1.0,0.36,53.0,5.5,0.572,3,4,0,Banerjee,0.637,Bengaluru Urban,OBC,GREEN
3.2,0.705,69.4,7.2,0.747,3,2,0,Paswan,0.873,Pune,ST,GREEN
3.6,0.6,49.1,6.5,0.604,4,4,0,Verma,0.671,Gaya,General,YELLOW
2.1,0.288,29.2,0.0,0.212,5,4,0,Iyer,0.49,Bengaluru Urban,SC,YELLOW
3.0,0.805,84.3,8.3,0.846,7,3,0,Gupta,0.542,Mumbai Suburban,OBC,GREEN
1.6,0.745,48.4,9.0,0.613,4,3,6,Verma,0.916,Pune,General,GREEN
1.0,0.538,72.7,4.2,0.548,10,3,0,Sharma,0.691,Bengaluru Urban,SC,GREEN
2.3,0.516,55.6,4.2,0.54,7,4,0,Munda,0.766,Bengaluru Urban,OBC,GREEN
1.2,0.806,95.3,7.7,0.841,7,4,0,Yadav,0.367,Mumbai Suburban,OBC,GREEN
0.7,0.58,67.6,8.3,0.625,8,3,17,Kumar,0.717,Bastar,ST,RED
0.3,0.6,57.6,10.0,0.723,4,3,8,Gupta,0.751,Pune,OBC,GREEN
4.3,0.776,73.4,7.4,0.835,6,1,0,Menon,0.602,Mewat,OBC,GREEN
2.2,0.84,87.8,8.5,0.918,3,3,0,Munda,0.786,Bengaluru Urban,General,GREEN
8.1,0.798,77.9,9.7,0.846,9,4,0,Munda,0.983,Bengaluru Urban,OBC,GREEN
2.4,0.347,25.8,4.3,0.393,7,1,1,Das,0.828,Mewat,General,GREEN
4.2,0.559,56.2,5.7,0.545,3,3,0,Sharma,0.577,Bastar,OBC,YELLOW
1.8,0.519,32.4,5.6,0.382,7,4,0,Menon,0.647,Bengaluru Urban,OBC,GREEN
3.4,0.802,83.8,7.6,0.754,7,4,0,Iyer,0.848,Gaya,SC,GREEN
0.3,0.401,51.1,2.8,0.475,4,4,0,Kumar,0.701,Pune,SC,GREEN
2.3,0.582,63.2,6.1,0.594,7,3,3,Paswan,0.762,Gaya,OBC,YELLOW
1.4,0.891,86.2,10.0,0.905,8,2,0,Kumar,0.901,Pune,General,GREEN
7.4,0.275,47.2,2.2,0.307,5,4,0,Kumar,0.865,Bastar,OBC,RED
4.0,0.727,72.8,5.1,0.75,10,2,0,Menon,0.538,Bastar,General,GREEN
6.6,0.661,61.9,5.1,0.678,3,2,0,Gupta,0.778,Bengaluru Urban,ST,GREEN
8.8,0.735,66.1,8.6,0.863,4,3,0,Deshmukh,0.852,Bengaluru Urban,OBC,GREEN
2.1,0.711,62.5,8.3,0.714,5,3,0,Munda,0.561,Hyderabad,OBC,GREEN
3.9,0.272,44.2,5.9,0.449,7,3,25,Ansari,0.847,Bengaluru Urban,SC,YELLOW
1.0,0.819,94.1,10.0,0.844,11,3,4,Iyer,0.863,Mumbai Suburban,OBC,GREEN
4.8,0.752,76.4,8.5,0.863,4,4,0,Banerjee,0.614,Kalahandi,OBC,GREEN
5.4,0.459,45.3,6.1,0.449,8,4,0,Sharma,0.801,Gaya,ST,YELLOW
4.5,0.432,39.8,3.7,0.411,6,3,0,Singh,0.977,Gaya,General,YELLOW
2.1,0.192,29.1,3.5,0.223,7,3,0,Patil,0.791,Bengaluru Urban,OBC,YELLOW
13.1,0.502,47.4,5.4,0.476,4,3,0,Banerjee,0.601,Pune,SC,GREEN
3.5,0.668,61.6,8.0,0.653,6,1,0,Ansari,0.773,Kalahandi,OBC,GREEN
1.0,0.793,93.2,9.9,0.875,7,4,18,Singh,0.57,Mumbai Suburban,OBC,GREEN
5.8,0.582,64.0,5.6,0.567,4,4,4,Yadav,0.633,Mewat,General,YELLOW
7.6,0.613,53.1,4.5,0.504,7,2,0,Ansari,0.72,Bengaluru Urban,General,GREEN
1.1,0.374,35.4,4.3,0.428,3,3,25,Khan,0.503,Gaya,SC,RED
2.7,0.795,80.0,8.2,0.75,6,2,0,Iyer,0.927,Bengaluru Urban,General,GREEN
0.6,0.696,84.6,7.0,0.758,5,4,12,Gupta,0.597,Pune,OBC,GREEN
9.0,0.64,71.9,7.5,0.764,7,4,21,Ansari,0.805,Mewat,General,YELLOW
3.2,0.29,1.8,4.5,0.227,5,1,1,Yadav,0.74,Hyderabad,OBC,GREEN
1.4,0.788,82.1,10.0,0.834,4,4,0,Deshmukh,0.811,Kalahandi,SC,GREEN
7.7,0.809,100.0,8.8,0.885,10,2,0,Iyer,0.836,Pune,OBC,GREEN
3.5,0.945,95.0,10.0,1.0,3,2,6,Deshmukh,0.917,Mewat,OBC,GREEN
6.9,0.595,47.9,4.9,0.531,10,1,15,Paswan,0.853,Pune,ST,GREEN
5.1,0.795,80.4,10.0,0.84,5,4,3,Paswan,0.638,Mumbai Suburban,General,GREEN
1.2,0.646,62.6,4.9,0.612,3,4,2,Paswan,0.676,Kalahandi,OBC,YELLOW
2.0,0.721,63.8,7.2,0.638,5,2,0,Yadav,0.605,Gaya,General,GREEN
1.5,0.69,56.6,6.2,0.659,6,4,0,Yadav,0.724,Mewat,SC,GREEN
1.0,0.453,41.4,6.1,0.513,10,3,0,Verma,0.595,Pune,OBC,GREEN
0.4,0.473,56.6,2.9,0.428,3,4,0,Banerjee,0.777,Mewat,SC,YELLOW
15.0,0.552,67.6,3.4,0.481,6,4,0,Ansari,0.904,Bengaluru Urban,SC,GREEN
4.5,0.921,91.0,8.2,0.839,6,1,1,Ansari,0.662,Hyderabad,General,GREEN
5.0,0.65,87.5,6.7,0.758,4,3,9,Sharma,0.875,Pune,SC,GREEN
8.4,0.508,57.2,5.5,0.605,6,4,11,Kumar,0.832,Bengaluru Urban,OBC,GREEN
2.0,0.527,54.2,4.8,0.484,6,3,0,Munda,0.537,Bengaluru Urban,OBC,GREEN
0.7,0.322,28.5,4.2,0.365,5,2,0,Das,0.566,Mumbai Suburban,OBC,GREEN
6.4,0.794,76.9,9.1,0.72,8,4,26,Ansari,0.697,Mumbai Suburban,OBC,GREEN
0.9,0.552,60.7,8.6,0.644,7,1,26,Verma,0.619,Mumbai Suburban,OBC,GREEN
6.3,0.604,76.8,6.9,0.686,3,4,0,Yadav,0.826,Kalahandi,OBC,GREEN
0.6,0.831,100.0,10.0,0.898,3,3,0,Singh,0.899,Pune,SC,GREEN
0.8,0.813,95.5,10.0,0.876,5,4,22,Sharma,0.782,Pune,SC,GREEN
1.8,0.513,57.1,5.1,0.498,4,4,7,Yadav,0.807,Gaya,General,YELLOW
6.1,0.195,45.2,2.0,0.297,8,1,9,Kumar,0.807,Pune,OBC,GREEN
11.8,0.362,33.7,5.6,0.41,7,3,0,Verma,0.563,Kalahandi,SC,YELLOW
5.0,0.584,61.2,4.5,0.437,4,4,22,Das,0.624,Gaya,OBC,RED
1.9,0.256,40.1,3.8,0.24,5,3,0,Gupta,0.625,Pune,OBC,YELLOW
7.4,0.869,69.8,8.9,0.789,7,3,0,Paswan,0.687,Mewat,OBC,GREEN
0.5,0.574,56.3,5.1,0.572,5,4,0,Gupta,0.76,Mewat,OBC,YELLOW
1.3,0.512,55.5,5.2,0.392,6,4,0,Yadav,0.61,Bengaluru Urban,General,GREEN
3.8,0.846,94.8,10.0,0.906,5,4,0,Banerjee,0.853,Pune,General,GREEN
6.6,0.751,74.1,5.4,0.651,7,3,5,Deshmukh,0.665,Bengaluru Urban,General,GREEN
2.9,0.813,74.6,6.3,0.799,3,2,2,Kumar,0.677,Bastar,General,GREEN
2.6,0.777,83.7,5.4,0.699,5,4,0,Banerjee,0.927,Bengaluru Urban,OBC,GREEN
2.7,0.697,72.2,6.8,0.719,5,3,0,Iyer,0.891,Bengaluru Urban,General,GREEN
8.3,0.84,87.2,8.0,0.844,10,4,0,Gupta,0.911,Hyderabad,General,GREEN
1.6,0.859,99.3,9.3,0.821,3,3,0,Kumar,0.851,Bengaluru Urban,SC,GREEN
1.2,0.891,94.9,8.7,0.942,5,3,0,Khan,0.721,Mewat,OBC,GREEN
2.7,0.377,42.9,4.9,0.443,6,3,0,Verma,0.849,Kalahandi,OBC,YELLOW
9.2,0.413,19.9,2.9,0.326,9,2,0,Deshmukh,0.814,Kalahandi,OBC,YELLOW
1.8,0.531,70.4,9.8,0.935,3,3,11,Verma,0.906,Hyderabad,OBC,GREEN
2.7,0.522,43.8,6.6,0.436,8,4,0,Verma,0.648,Gaya,SC,YELLOW
0.5,0.182,33.1,2.6,0.344,8,2,0,Kumar,0.669,Kalahandi,OBC,YELLOW
2.8,0.716,76.5,8.6,0.766,5,3,0,Deshmukh,0.505,Mumbai Suburban,General,GREEN
4.3,0.765,79.6,6.6,0.755,8,4,4,Munda,0.835,Bengaluru Urban,SC,GREEN
0.9,0.606,75.8,5.7,0.642,4,1,0,Yadav,0.79,Pune,OBC,GREEN
8.3,0.868,98.8,8.4,0.877,4,2,6,Munda,0.583,Mumbai Suburban,General,GREEN
4.2,0.307,36.4,2.2,0.269,6,4,20,Gupta,0.488,Kalahandi,General,RED
2.1,0.469,40.2,4.7,0.463,7,4,2,Patil,0.568,Bengaluru Urban,OBC,GREEN
4.3,0.657,53.1,8.3,0.597,6,3,0,Yadav,0.869,Pune,OBC,GREEN
5.3,0.636,61.2,7.6,0.707,3,3,9,Das,0.594,Kalahandi,General,GREEN
0.3,0.389,50.1,5.6,0.463,5,4,36,Patil,0.942,Mewat,OBC,RED
4.4,0.698,68.3,4.4,0.55,6,1,2,Iyer,0.683,Bengaluru Urban,OBC,GREEN
9.0,0.464,37.1,2.5,0.339,8,3,0,Kumar,0.688,Kalahandi,OBC,RED
1.5,0.834,92.4,8.2,0.922,3,3,9,Das,0.663,Bengaluru Urban,OBC,GREEN
2.1,0.639,81.0,8.8,0.75,4,2,0,Iyer,0.933,Hyderabad,OBC,GREEN
2.5,0.326,43.8,5.3,0.449,6,3,0,Khan,0.309,Kalahandi,OBC,RED
6.6,0.898,100.0,10.0,0.929,8,3,0,Gupta,0.766,Bengaluru Urban,OBC,GREEN
1.1,0.456,46.7,5.3,0.522,3,4,12,Paswan,0.81,Bastar,OBC,YELLOW
5.1,0.718,79.8,6.8,0.766,8,3,2,Ansari,0.473,Kalahandi,ST,GREEN
2.5,0.257,32.7,5.0,0.454,6,4,6,Munda,0.709,Gaya,OBC,YELLOW
12.2,0.833,100.0,10.0,0.936,3,4,0,Paswan,0.883,Mumbai Suburban,SC,GREEN
2.7,0.471,55.2,4.3,0.518,11,4,10,Khan,0.8,Kalahandi,SC,YELLOW
0.1,0.56,53.2,6.4,0.582,6,3,0,Verma,0.771,Hyderabad,ST,GREEN
5.9,0.583,62.3,6.6,0.687,7,3,16,Verma,0.712,Bengaluru Urban,OBC,GREEN
4.9,0.819,81.8,9.1,0.813,7,1,0,Verma,0.844,Pune,OBC,GREEN
4.1,0.709,76.7,7.7,0.786,5,3,0,Ansari,0.591,Bengaluru Urban,OBC,GREEN
8.8,0.388,54.5,3.7,0.425,7,4,36,Sharma,0.71,Hyderabad,SC,YELLOW
0.4,0.4,34.0,5.9,0.44,3,4,15,Yadav,0.925,Kalahandi,ST,RED
1.3,0.564,74.3,5.1,0.61,5,4,0,Singh,0.78,Bengaluru Urban,General,GREEN
3.4,0.313,22.8,3.6,0.313,6,3,3,Munda,0.826,Bengaluru Urban,OBC,YELLOW
3.9,0.536,66.5,5.9,0.591,7,3,0,Iyer,0.653,Gaya,OBC,YELLOW
2.9,0.559,57.6,8.6,0.676,3,4,0,Deshmukh,0.788,Pune,OBC,GREEN
0.5,0.237,50.1,2.6,0.412,5,4,21,Das,0.394,Gaya,OBC,RED
2.1,0.265,9.1,2.5,0.251,6,2,0,Khan,0.934,Mumbai Suburban,General,GREEN
11.6,0.526,64.4,6.8,0.66,5,4,0,Gupta,0.845,Mewat,OBC,GREEN
1.0,0.737,76.4,7.3,0.721,7,3,18,Iyer,0.857,Bengaluru Urban,ST,GREEN
3.3,0.754,77.4,9.0,0.765,6,4,12,Ansari,0.815,Hyderabad,General,GREEN
5.1,0.778,99.3,9.2,0.945,3,3,6,Banerjee,0.874,Bengaluru Urban,ST,GREEN
6.5,0.757,88.3,9.0,0.89,10,3,0,Deshmukh,0.55,Mumbai Suburban,General,GREEN
5.9,0.724,52.6,6.4,0.704,4,2,0,Menon,0.772,Gaya,OBC,GREEN
2.0,0.464,48.5,5.7,0.476,8,4,0,Paswan,0.966,Mewat,SC,YELLOW
1.3,0.53,67.0,5.3,0.565,12,4,0,Gupta,0.43,Kalahandi,OBC,YELLOW
12.3,0.779,88.5,6.9,0.703,9,3,0,Deshmukh,0.645,Hyderabad,General,GREEN
7.0,0.794,84.7,6.0,0.727,5,3,5,Verma,0.252,Pune,OBC,GREEN
3.6,0.851,100.0,8.5,0.95,6,3,0,Verma,0.556,Mumbai Suburban,OBC,GREEN
10.0,0.674,76.1,10.0,0.788,5,3,4,Menon,0.891,Hyderabad,ST,GREEN
0.7,0.593,45.7,5.6,0.569,3,1,12,Das,0.753,Gaya,General,GREEN
0.1,0.558,59.7,6.9,0.605,8,2,7,Menon,0.756,Mewat,OBC,GREEN
3.8,0.632,68.0,6.3,0.664,8,4,0,Gupta,0.78,Kalahandi,OBC,GREEN
4.0,0.655,75.7,6.4,0.627,4,4,15,Gupta,0.673,Mewat,OBC,RED
0.6,0.896,85.6,10.0,0.922,7,4,0,Menon,0.824,Kalahandi,SC,GREEN
6.8,0.546,64.2,3.8,0.373,5,3,0,Das,0.907,Mumbai Suburban,General,GREEN
0.3,0.271,33.9,5.4,0.374,3,3,0,Patil,0.777,Pune,General,GREEN
4.6,0.552,43.3,4.8,0.407,3,2,16,Iyer,0.786,Mumbai Suburban,ST,GREEN
5.5,0.599,46.6,5.5,0.599,3,3,0,Singh,0.631,Bastar,OBC,YELLOW
3.8,0.826,90.7,8.1,0.887,3,4,0,Deshmukh,0.339,Pune,General,GREEN
0.5,0.825,90.0,9.4,0.912,3,2,3,Gupta,0.749,Mumbai Suburban,General,GREEN
8.7,0.329,30.1,4.1,0.423,13,3,0,Yadav,0.798,Pune,General,YELLOW
2.1,0.565,63.9,5.3,0.531,7,4,3,Patil,0.824,Bastar,General,YELLOW
2.1,0.349,44.9,1.6,0.407,3,4,0,Gupta,0.615,Hyderabad,ST,GREEN
1.7,0.674,70.5,7.1,0.743,9,4,0,Yadav,0.591,Pune,OBC,GREEN
6.0,0.826,86.9,7.0,0.787,3,1,0,Kumar,0.701,Hyderabad,OBC,GREEN
2.0,0.71,75.0,10.0,0.877,5,2,0,Singh,0.885,Bengaluru Urban,General,GREEN
0.9,0.451,53.9,5.2,0.448,4,3,0,Das,0.706,Mewat,OBC,YELLOW
7.4,0.73,87.2,5.9,0.689,4,3,0,Khan,0.72,Mumbai Suburban,SC,GREEN
3.2,0.601,52.7,6.3,0.556,7,2,31,Munda,0.719,Mewat,OBC,YELLOW
7.6,0.595,57.1,7.6,0.616,4,3,0,Iyer,0.713,Pune,ST,GREEN
3.4,0.818,100.0,10.0,0.887,3,3,0,Kumar,0.571,Pune,OBC,GREEN
1.5,0.662,70.0,6.2,0.722,3,1,0,Gupta,0.8,Mewat,SC,GREEN
0.3,0.296,40.9,3.3,0.332,7,3,0,Singh,0.758,Pune,SC,YELLOW
3.9,0.443,57.3,5.8,0.55,4,3,0,Gupta,0.917,Bengaluru Urban,SC,GREEN
2.5,0.969,100.0,8.3,0.904,6,1,0,Verma,0.948,Mumbai Suburban,OBC,GREEN
6.2,0.838,90.2,9.4,0.802,3,4,0,Munda,0.818,Hyderabad,SC,GREEN
1.9,0.62,66.2,7.4,0.688,6,2,8,Khan,0.598,Pune,SC,GREEN
4.7,0.527,63.3,6.6,0.511,7,4,0,Paswan,0.6,Mumbai Suburban,OBC,GREEN
3.3,0.707,75.4,7.5,0.734,6,4,6,Yadav,0.914,Bengaluru Urban,General,GREEN
1.4,0.801,90.6,5.7,0.691,7,2,0,Paswan,0.602,Kalahandi,OBC,GREEN
2.0,0.478,68.1,4.1,0.622,5,3,0,Gupta,0.29,Hyderabad,General,GREEN
0.7,0.627,66.6,5.0,0.643,6,2,0,Paswan,0.521,Mewat,SC,GREEN
12.9,0.696,61.8,10.0,0.777,15,3,0,Iyer,0.677,Hyderabad,OBC,GREEN
4.6,0.586,52.7,9.0,0.734,4,4,0,Gupta,0.769,Hyderabad,OBC,GREEN
0.6,0.711,63.0,5.9,0.601,6,4,0,Deshmukh,0.644,Mumbai Suburban,OBC,GREEN
12.4,0.832,90.1,7.5,0.855,8,4,0,Sharma,0.926,Pune,SC,GREEN
1.0,0.607,75.0,3.1,0.566,3,4,0,Verma,0.568,Bengaluru Urban,SC,GREEN
1.8,0.416,43.5,5.8,0.49,7,4,0,Meena,0.598,Mumbai Suburban,SC,GREEN
2.7,0.429,36.5,3.4,0.442,6,2,0,Deshmukh,0.873,Mumbai Suburban,OBC,GREEN
3.4,0.733,79.4,8.2,0.819,10,3,0,Ansari,0.582,Pune,ST,GREEN
6.1,0.504,55.5,5.5,0.551,8,3,21,Gupta,0.822,Pune,OBC,YELLOW
3.4,0.794,77.0,5.5,0.622,3,2,0,Sharma,0.927,Kalahandi,ST,GREEN
2.5,0.678,70.4,7.6,0.666,7,4,0,Paswan,0.941,Bengaluru Urban,OBC,GREEN
3.9,0.787,77.1,10.0,0.847,6,3,0,Sharma,0.844,Mumbai Suburban,SC,GREEN
2.4,0.819,83.1,8.1,0.825,3,2,4,Deshmukh,0.834,Bengaluru Urban,SC,GREEN
2.1,0.743,83.2,5.9,0.665,5,2,0,Patil,0.541,Hyderabad,OBC,GREEN
3.0,0.422,35.0,5.3,0.555,3,4,19,Munda,0.83,Kalahandi,OBC,RED
11.9,0.259,40.6,4.7,0.454,4,4,11,Banerjee,0.642,Hyderabad,OBC,GREEN
2.2,0.498,33.9,5.2,0.482,9,4,0,Verma,0.73,Bengaluru Urban,General,GREEN
8.4,0.715,73.9,6.0,0.688,12,4,0,Patil,0.559,Bengaluru Urban,OBC,GREEN
3.8,0.84,95.9,10.0,0.922,4,4,0,Yadav,0.808,Mumbai Suburban,General,GREEN
3.6,0.93,100.0,7.5,0.846,7,3,0,Sharma,0.673,Pune,OBC,GREEN
4.0,0.592,54.0,9.8,0.708,5,3,2,Paswan,0.543,Gaya,ST,GREEN
5.1,0.48,42.6,3.7,0.438,6,3,0,Yadav,0.462,Kalahandi,OBC,YELLOW
2.3,0.387,44.4,6.5,0.432,3,4,7,Banerjee,0.607,Mewat,OBC,YELLOW
8.0,0.45,39.0,5.3,0.473,6,4,4,Singh,0.55,Bengaluru Urban,SC,GREEN
5.1,0.58,64.6,5.0,0.568,7,3,0,Das,0.913,Pune,SC,GREEN
0.8,0.855,80.4,10.0,0.791,6,3,0,Menon,0.762,Bengaluru Urban,SC,GREEN
11.7,0.898,100.0,10.0,0.923,6,3,0,Deshmukh,0.815,Pune,OBC,GREEN
4.1,0.84,81.8,8.8,0.825,7,3,0,Singh,0.81,Bengaluru Urban,OBC,GREEN
0.7,0.83,74.8,9.4,0.934,9,1,0,Deshmukh,0.893,Kalahandi,OBC,GREEN
2.2,0.587,71.7,7.0,0.696,3,3,10,Verma,0.817,Gaya,ST,GREEN
7.0,0.52,58.3,2.4,0.381,5,3,0,Munda,0.54,Mewat,OBC,RED
2.8,0.693,80.2,4.9,0.686,7,4,6,Menon,0.882,Bengaluru Urban,OBC,GREEN
3.1,0.829,90.6,7.3,0.744,5,3,0,Gupta,0.469,Bengaluru Urban,OBC,GREEN
6.0,0.824,71.6,8.3,0.844,3,3,0,Das,0.645,Kalahandi,SC,GREEN
4.4,0.712,70.9,7.5,0.7,7,3,0,Ansari,0.9,Bastar,General,GREEN
5.4,0.508,62.0,4.4,0.518,3,4,21,Yadav,0.476,Pune,SC,YELLOW
5.9,0.842,80.0,7.2,0.854,6,4,0,Das,0.736,Bastar,OBC,GREEN
1.6,0.913,92.0,7.1,0.783,5,2,0,Kumar,0.881,Mumbai Suburban,OBC,GREEN
1.8,0.745,65.8,6.7,0.621,4,3,0,Verma,0.648,Gaya,SC,GREEN
1.4,0.743,78.9,9.1,0.785,8,3,0,Iyer,0.733,Pune,General,GREEN
1.9,0.589,55.9,5.2,0.608,8,3,0,Deshmukh,0.553,Bastar,ST,YELLOW
3.0,0.791,74.5,9.5,0.753,6,1,0,Verma,0.993,Mumbai Suburban,OBC,GREEN
3.2,0.404,42.2,3.8,0.26,3,4,17,Munda,0.873,Hyderabad,OBC,RED
9.7,0.779,79.4,10.0,0.835,11,3,11,Verma,0.619,Bengaluru Urban,OBC,GREEN
4.2,0.296,56.1,3.5,0.43,6,4,18,Menon,0.81,Bengaluru Urban,OBC,YELLOW
3.0,0.591,65.2,5.9,0.671,6,3,0,Gupta,0.872,Bengaluru Urban,General,GREEN
1.1,0.715,94.6,7.2,0.771,4,4,0,Deshmukh,0.9,Mumbai Suburban,OBC,GREEN
2.5,0.554,79.0,6.9,0.657,6,4,0,Singh,0.608,Bengaluru Urban,General,GREEN
12.3,0.505,67.8,5.9,0.649,8,4,0,Ansari,0.593,Pune,SC,GREEN
12.2,0.848,77.0,9.2,0.753,10,4,2,Yadav,0.845,Bengaluru Urban,SC,GREEN
2.4,0.347,53.8,3.9,0.406,9,3,4,Patil,0.989,Bengaluru Urban,SC,GREEN
0.4,0.526,56.4,3.4,0.486,3,4,0,Patil,0.435,Pune,OBC,GREEN
2.1,0.853,87.5,10.0,0.932,8,4,0,Kumar,0.837,Mumbai Suburban,General,GREEN
9.8,0.617,70.4,7.6,0.668,6,3,7,Deshmukh,0.633,Bengaluru Urban,OBC,GREEN
3.0,0.656,62.1,7.4,0.674,3,2,0,Iyer,0.672,Pune,OBC,GREEN
6.0,0.51,60.0,4.4,0.392,9,4,0,Kumar,0.325,Bengaluru Urban,OBC,RED
3.3,0.346,65.6,4.1,0.438,5,4,28,Verma,0.826,Bastar,General,RED
0.6,0.885,77.1,10.0,0.908,3,4,0,Sharma,0.979,Hyderabad,OBC,GREEN
3.4,0.771,100.0,8.5,0.825,3,4,0,Das,0.408,Mumbai Suburban,OBC,GREEN
6.7,0.726,82.6,6.4,0.734,4,2,0,Meena,0.573,Kalahandi,OBC,GREEN
1.8,0.641,67.3,8.5,0.744,6,4,0,Gupta,0.186,Bengaluru Urban,General,GREEN
6.5,0.919,81.9,10.0,0.896,7,1,0,Ansari,0.692,Gaya,OBC,GREEN
3.6,0.696,69.1,6.6,0.691,4,4,29,Patil,0.853,Bengaluru Urban,OBC,GREEN
6.2,0.362,32.1,5.4,0.36,6,4,0,Yadav,0.596,Hyderabad,General,YELLOW
4.5,0.645,71.4,6.9,0.673,8,4,8,Menon,0.329,Hyderabad,OBC,GREEN
1.2,0.168,20.8,2.4,0.236,4,3,0,Kumar,0.661,Bengaluru Urban,SC,YELLOW
2.5,0.711,78.8,9.9,0.838,7,3,7,Ansari,0.768,Gaya,OBC,GREEN
2.4,0.693,90.0,7.2,0.742,5,3,14,Munda,0.483,Hyderabad,OBC,GREEN
1.8,0.544,65.9,1.4,0.459,5,3,0,Das,0.39,Mumbai Suburban,OBC,YELLOW
4.2,0.597,70.1,5.2,0.642,3,3,12,Verma,0.664,Gaya,SC,GREEN
14.0,0.626,75.2,4.8,0.517,9,4,22,Sharma,0.396,Pune,ST,RED
8.0,0.407,57.1,7.6,0.637,5,4,2,Das,0.891,Pune,SC,GREEN
8.8,0.331,46.5,4.8,0.409,8,4,0,Ansari,0.836,Bengaluru Urban,General,GREEN
1.6,0.741,91.6,9.5,0.89,7,4,22,Banerjee,0.849,Pune,General,GREEN
8.9,0.9,85.9,9.7,0.97,4,4,0,Iyer,0.91,Bastar,OBC,GREEN
11.2,0.694,80.5,6.1,0.634,10,4,0,Khan,0.886,Kalahandi,ST,GREEN
1.6,0.259,34.2,0.0,0.165,4,4,6,Banerjee,0.47,Mewat,SC,RED
